mass_code,resolution_code,periapsis_code,velocity_code,timestep,fof_linking_length,fragment_count_min_particles,largest_fragment_particle_count,largest_fragment_mass_kg,fragment_mass_fraction
A2000,n65,r12,v00,90000,0.005,335.0,211538.0,6.551399980477479e+18,1.0
A2000,n65,r12,v00,90000,0.006,335.0,211547.0,6.55167871338229e+18,1.0
A2000,n65,r12,v00,90000,0.008,335.0,211562.0,6.552143268491952e+18,1.0
A2000,n65,r12,v00,96000,0.004,270.0,214481.0,6.64254562525931e+18,1.0
A2000,n65,r12,v00,102000,0.004,239.0,214838.0,6.653602026855102e+18,1.0
A2000,n65,r12,v00,108000,0.004,220.0,214605.0,6.646385943048327e+18,1.0
A2000,n65,r12,v02,90000,0.004,355.3333333333333,128651.66666666667,4.025324987498262e+18,1.0
A2000,n65,r12,v04,90000,0.004,348.0,158833.0,4.961938306672625e+18,1.0
A2000,n65,r12,v06,90000,0.004,326.3333333333333,158387.0,4.946489847339161e+18,1.0
A2000,n65,r12,v08,90000,0.004,312.6666666666667,171462.66666666666,5.357426059348233e+18,1.0
A2000,n65,r12,v10,90000,0.004,270.6666666666667,202703.66666666666,6.330210867825006e+18,1.0
A2000,n65,r12,v12,90000,0.004,242.66666666666666,190644.66666666666,5.94750610461655e+18,1.0
A2000,n65,r12,v14,90000,0.004,215.33333333333334,338997.0,1.0550295984240888e+19,1.0
A2000,n65,r12,v16,90000,0.004,182.0,327406.0,1.0196326632623647e+19,1.0
A2000,n65,r13,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r13,v00,90000,0.002,6178.0,11571.0,3.58357566568995e+17,1.0
A2000,n65,r13,v00,90000,0.003,354.0,215030.0,6.659547017224107e+18,1.0
A2000,n65,r13,v00,90000,0.0035,350.0,215033.0,6.659639927844277e+18,1.0
A2000,n65,r13,v00,90000,0.004,373.6666666666667,138021.33333333334,4.314020186306695e+18,1.0
A2000,n65,r13,v00,90000,0.0045,351.0,215035.0,6.659701868720316e+18,1.0
A2000,n65,r13,v00,90000,0.005,351.0,215035.0,6.659701868720316e+18,1.0
A2000,n65,r13,v00,90000,0.006,353.0,215035.0,6.659701868720316e+18,1.0
A2000,n65,r13,v00,90000,0.008,353.0,215036.0,6.659732838894659e+18,1.0
A2000,n65,r14,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r14,v00,90000,0.002,5849.0,14791.0,4.580822687699147e+17,1.0
A2000,n65,r14,v00,90000,0.003,294.0,259332.0,8.031590128327206e+18,1.0
A2000,n65,r14,v00,90000,0.0035,292.0,259335.0,8.031683039325545e+18,1.0
A2000,n65,r14,v00,90000,0.004,342.3333333333333,148137.33333333334,4.623976714273406e+18,1.0
A2000,n65,r14,v00,90000,0.0045,293.0,259346.0,8.032023714782141e+18,1.0
A2000,n65,r14,v00,90000,0.005,293.0,259351.0,8.032178566271412e+18,1.0
A2000,n65,r14,v00,90000,0.006,292.0,259351.0,8.032178566271412e+18,1.0
