mass_log10_kg,spin_axis,spin_period_hr,resolution_value,fof_linking_length,special_case_code,timestep,v_inf_kms,periapsis_Rm,has_explicit_spin,target_mass_kg,particle_log10,encounter_eccentricity_proxy,v_inf_squared,periapsis_inverse,spin_frequency_hr_inv,angular_momentum_proxy,asteroid_radius_km,time_within_2_mars_radii_hr,time_within_tidal_disruption_hr,has_spin,particle_mass_proxy,mass_resolution_interaction,spin_period_filled,is_exact_observed,interpolation_class,inside_parameter_ranges,inside_convex_hull,nearest_distance,distance_k3_mean,distance_k5_mean,local_support_count,nearest_supporting_physical_files,pred_gradient_boosting,pred_random_forest,pred_ridge,predicted_bmf,prediction_mean,prediction_min,prediction_max,prediction_std,prediction_range,local_prediction_variability,near_zero_boundary,trust_level,source
19.5,none,,65,0.002,none,90000,0.0,1.1,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.9090909090909091,,0.0,140.87995649532473,0.9950146326707979,1.6007232048504096,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,0.2697953868334182,0.7710695984992926,0.8984895674472266,5,Ma_xp_A1950_n65_r12_v00_90000.hdf5; Ma_xp_A2000_n65_r11_v00_90000.hdf5; Ma_xp_A1900_n65_r12_v00_90000.hdf5,0.06609612425028288,0.07398603958591261,0.09879621327414137,0.06609612425028288,0.07962612570344561,0.06609612425028288,0.09879621327414137,0.013932740436395587,0.032700089023858486,0.046249968590178,True,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,1.8,False,3.162277660168379e+19,1.8129133566428555,1.0227927422874137,0.16000000000000003,0.5555555555555556,,0.7200000000000001,140.87995649532473,0.6182669016054033,1.54331158977397,0,4.865042554105199e+17,17.687086643357144,0.0,False,sparse interpolation,True,True,1.0038959298585104,1.0417613112961055,1.0720536164461814,5,Ma_xp_A2000_n65_r18_v04_90000.hdf5; Ma_xp_A1900_n65_r18_v04_90000.hdf5; Ma_xp_A2000_n65_r18_v06_90000.hdf5,-0.004622998728425008,0.002143492091057204,-0.03601412401151134,-0.004622998728425008,-0.012831210216293049,-0.03601412401151134,0.002143492091057204,0.01662391788016945,0.03815761610256855,0.008326331939629554,False,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,1.9,False,3.162277660168379e+19,1.8129133566428555,1.0240590057478256,0.16000000000000003,0.5263157894736842,,0.76,140.87995649532473,0.45256302382355007,1.5064257042239761,0,4.865042554105199e+17,17.687086643357144,0.0,False,sparse interpolation,True,True,1.0395174788059491,1.0395174788059491,1.08355012656531,5,Ma_xp_A2000_n65_r18_v04_90000.hdf5; Ma_xp_A1900_n65_r18_v04_90000.hdf5; Ma_xp_A2000_n65_r20_v04_90000.hdf5,-0.0075386400825700264,0.0018152086141897516,-0.051271754834057715,-0.0075386400825700264,-0.018998395434145995,-0.051271754834057715,0.0018152086141897516,0.02313800505052774,0.05308696344824747,0.007988137311387691,False,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,2.0,False,3.162277660168379e+19,1.8129133566428555,1.0253252692082375,0.16000000000000003,0.5,,0.8,140.87995649532473,0.0,1.4592262751583032,0,4.865042554105199e+17,17.687086643357144,0.0,False,sparse interpolation,True,True,1.0038959298585104,1.0796266927337006,1.0992187430609406,5,Ma_xp_A2000_n65_r20_v04_90000.hdf5; Ma_xp_A2000_n65_r20_v06_90000.hdf5; Ma_xp_A1900_n65_r20_v06_90000.hdf5,-0.01103815195486876,0.002637014174813567,-0.08372213348012067,-0.01103815195486876,-0.030707757086725285,-0.08372213348012067,0.002637014174813567,0.03790026930822569,0.08635914765493424,0.010049796181811673,False,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,2.2,False,3.162277660168379e+19,1.8129133566428555,1.0278577961290611,0.16000000000000003,0.45454545454545453,,0.8800000000000001,140.87995649532473,0.0,1.3271993883721949,0,4.865042554105199e+17,17.687086643357144,0.0,False,sparse interpolation,True,True,1.1397215629323065,1.207204457570441,1.253348678560394,5,Ma_xp_A2000_n65_r20_v04_90000.hdf5; Ma_xp_A1900_n65_r20_v06_90000.hdf5; Ma_xp_A2000_n65_r20_v06_90000.hdf5,-0.015913610211628258,0.001994123740110172,-0.09443470490082087,-0.015913610211628258,-0.03611806379077965,-0.09443470490082087,0.001994123740110172,0.041879149200125615,0.09642882864093104,0.00877034618380904,False,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,2.4,False,3.162277660168379e+19,1.8129133566428555,1.030390323049885,0.16000000000000003,0.4166666666666667,,0.96,140.87995649532473,0.0,1.125732220737246,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,1.4041841152011396,1.4607983159934825,1.488040981769301,1,Ma_xp_A2000_n65_r24_v00_90000.hdf5; Ma_xp_A2000_n65_r20_v04_90000.hdf5; Ma_xp_A2000_n65_r22_v00_90000.hdf5,-0.01076221608085888,0.001699039035318669,-0.10560721696355485,-0.01076221608085888,-0.03822346466969836,-0.10560721696355485,0.001699039035318669,0.04791832130245155,0.10730625599887351,0.008670081166216417,False,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,2.6,False,3.162277660168379e+19,1.8129133566428555,1.0329228499707086,0.16000000000000003,0.3846153846153846,,1.04,140.87995649532473,0.0,0.7974921660979073,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,1.4041841152011396,1.5598179453084466,1.7102553496250086,1,Ma_xp_A1900_n65_r26_v00_90000.hdf5; Ma_xp_A2000_n65_r24_v00_90000.hdf5; Ma_xp_A2000_n65_r22_v00_90000.hdf5,0.0021596193322517853,0.001699039035318669,-0.11798968856266262,0.0021596193322517853,-0.03804367673169739,-0.11798968856266262,0.0021596193322517853,0.05653067980787132,0.1201493078949144,0.008485437916382333,False,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,2.8,False,3.162277660168379e+19,1.8129133566428555,1.0354553768915324,0.16000000000000003,0.35714285714285715,,1.1199999999999999,140.87995649532473,0.0,0.0,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,1.5042909400809348,1.7935893106797842,1.9394481740867129,0,Ma_xp_A1900_n65_r26_v00_90000.hdf5; Ma_xp_A2000_n65_r24_v00_90000.hdf5; Ma_xp_A2000_s030z_n65_r28_v00_90000.hdf5,-0.020256323941021656,0.001699039035318669,-0.1356369986256785,-0.020256323941021656,-0.05139809451046049,-0.1356369986256785,0.001699039035318669,0.06023650175630157,0.13733603766099717,0.0074941469323487045,False,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.4,3.0,False,3.162277660168379e+19,1.8129133566428555,1.037987903812356,0.16000000000000003,0.3333333333333333,,1.2000000000000002,140.87995649532473,0.0,0.0,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,1.770978780643266,2.006469609543329,2.090439004525482,0,Ma_xp_A1900_n65_r26_v00_90000.hdf5; Ma_xp_A2000_s030z_n65_r30_v00_90000.hdf5; Ma_xp_A2000_n65_r24_v00_90000.hdf5,-0.020256323941021656,0.0018153902799455128,-0.14380723688813007,-0.020256323941021656,-0.054082723516402066,-0.14380723688813007,0.0018153902799455128,0.06408149169616273,0.14562262716807559,0.0033395540465238865,False,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.8,1.1,False,3.162277660168379e+19,1.8129133566428555,1.0557155922581223,0.6400000000000001,0.9090909090909091,,0.8800000000000001,140.87995649532473,0.9643623383188298,1.5450007797591034,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,1.0395174788059491,1.07621135193875,1.1055664504449907,5,Ma_xp_A2000_n65_r12_v08_90000.hdf5; Ma_xp_A1900_n65_r12_v08_90000.hdf5; Ma_xp_A2000_n65_r12_v10_90000.hdf5,0.037396954750217565,0.03402157096227077,-0.03069958561134281,0.037396954750217565,0.013572980033715173,-0.03069958561134281,0.037396954750217565,0.03133574482414569,0.06809654036156038,0.018904560346539267,True,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.8,1.2,False,3.162277660168379e+19,1.8129133566428555,1.06078064609977,0.6400000000000001,0.8333333333333334,,0.96,140.87995649532473,0.950761528447568,1.5555878292397605,0,4.865042554105199e+17,17.687086643357144,0.0,False,sparse interpolation,True,True,1.0038959298585104,1.0417613112961055,1.0720536164461814,5,Ma_xp_A2000_n65_r12_v08_90000.hdf5; Ma_xp_A1900_n65_r12_v08_90000.hdf5; Ma_xp_A2000_n65_r12_v10_90000.hdf5,0.004733576509015727,0.03216544613339893,-0.0358282998894455,0.004733576509015727,0.00035690758432305414,-0.0358282998894455,0.03216544613339893,0.027930315641038334,0.06799374602284443,0.01890880563181957,True,medium,mass19.5_peri
