periapsis,periapsis_code,v_inf_kms,velocity_code,spin_orientation,bound_mass_fraction_mean,bound_mass_fraction_median,bound_mass_fraction_min,bound_mass_fraction_max,row_count,zero_bmf_count,mass_codes,resolution_codes,timesteps,fof_linking_lengths
1.8,r18,0.6,v06,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.8,r18,0.8,v08,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.8,r18,1,v10,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.9,r19,0,v00,no_spin,0,0,0,0,10,10,A1900;A2000,n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.9,r19,0,v00,prograde_z,0.152845101676,0.191463914459,0.0331556335335,0.233915757035,3,0,A1900;A2000,n65,90000,0.002;0.0040
2,r20,0,v00,equatorial,0,0,0,0,10,10,A2000,n65,90000,0.0040
2,r20,0,v00,no_spin,0,0,0,0,10,10,A2000;A2000c30,n65,90000,0.0010;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
2,r20,0,v00,prograde_z,0.074549473921,0.0101172741298,0,0.220886398854,8,4,A1900;A2000,n65,90000,0.002;0.0040
2,r20,0.2,v02,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
2,r20,0.2,v02,prograde_z,0.0955944217819,0.0806946736581,0,0.220988339811,4,1,A1900;A2000,n65,90000,0.002;0.0040
2,r20,0.4,v04,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
2,r20,0.4,v04,prograde_z,0.0648853826192,0.0460362495884,0,0.1674690313,4,2,A1900;A2000,n65,90000,0.002;0.0040
2,r20,0.6,v06,no_spin,0,0,0,0,2,2,A1900;A2000,n65,90000,0.002;0.0040
2,r20,0.6,v06,prograde_z,0.0462626365124,0.0308133025927,0,0.107974606945,3,1,A1900;A2000,n65,90000,0.002;0.0040
2,r20,0.8,v08,prograde_z,0.0202426625926,0.0202426625926,0,0.0404853251851,2,1,A2000,n65,90000,0.0040
2,r20,1,v10,prograde_z,0,0,0,0,2,2,A2000,n65,90000,0.0040
2.2,r22,0,v00,no_spin,0,0,0,0,10,10,A2000;A2000c30,n65,90000,0.0010;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
2.2,r22,0,v00,prograde_z,0.052027641893,0,0,0.208110567572,4,3,A1900;A2000,n65,90000,0.002;0.0040
2.4,r24,0,v00,no_spin,0,0,0,0,9,9,A2000,n65,90000,0.0010;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
2.4,r24,0,v00,prograde_z,0.0476069296395,0,0,0.142820788919,3,2,A1900;A2000,n65,90000,0.002;0.0040
2.6,r26,0,v00,no_spin,0,0,0,0,1,1,A1900,n65,90000,0.002
2.6,r26,0,v00,prograde_z,0.0364472770926,0.0364472770926,0,0.0728945541852,2,1,A2000,n65,90000,0.0040
2.8,r28,0,v00,prograde_z,0,0,0,0,2,2,A2000,n65,90000,0.0040
3,r30,0,v00,prograde_z,0,0,0,0,2,2,A2000,n65,90000,0.0040
