fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg
Ma_xp_A1900_s035x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s035x,90000,0.002,2111,9.491876640039338e+18,27,1.5197883873017107e+17,0.0160114637488105,1.4048770218328723e+17,2084,9.339897801309168e+18,0.9839885362511896,3.390340655698014e+17
Ma_xp_A1900_s035y_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s035y,90000,0.002,1537,9.509856076153717e+18,27,2.450699208627018e+17,0.0257700977701674,1.5425257003927008e+17,1510,9.264786155291011e+18,0.9742299022298324,6.53747999568409e+17
Ma_xp_A1900_s035z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s035z,90000,0.002,392,9.9093167496204e+18,55,7.011320575671456e+17,0.0707548335856762,9.630068627325331e+16,337,9.208184692053256e+18,0.929245166414324,4.46562085309933e+17
Ma_xp_A1900_s035z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s035z,90000,0.002,375,9.90673838856427e+18,29,4.766670415648781e+17,0.048115436470505,4.7572488770759624e+16,346,9.430071346999392e+18,0.951884563529495,3.68005296683523e+17
Ma_xp_A1900_s035z_n65_r20_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,A1900,n65,r20,v00,s035z,90000,0.002,279,9.916857120993411e+18,0,0.0,0.0,0.0,279,9.916857120993411e+18,1.0,4.424919806461516e+17
Ma_xp_A1900_s047x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s047x,90000,0.002,2309,9.397441470954924e+18,11,1.50654345038413e+17,0.0160314214782871,1.4849861279410304e+17,2298,9.24678712591651e+18,0.9839685785217128,7.670386554855169e+17
Ma_xp_A1900_s047y_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s047y,90000,0.002,1743,9.567981733708192e+18,13,1.9229068308451555e+17,0.0200973087570884,1.1901161447435762e+17,1730,9.375691050623676e+18,0.9799026912429116,5.966408420095839e+17
Ma_xp_A1900_s047z_n65_r11_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,A1900,n65,r11,v00,s047z,90000,0.002,373,9.99107188511563e+18,48,5.966186832331892e+17,0.0597151827244894,8.521948274456202e+16,325,9.394453201882444e+18,0.9402848172755108,3.764142748480469e+17
Ma_xp_A1900_s047z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s047z,90000,0.002,386,9.98684905572412e+18,40,5.998760231441914e+17,0.0600665955595236,7.467507142915694e+16,346,9.386973032579928e+18,0.9399334044404762,3.810612864995308e+17
Ma_xp_A1900_s047z_n65_r12_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,s047z,90000,0.002,356,9.986041843209622e+18,7,9.481739781764738e+16,0.009494993041925,3.3801628347643976e+16,349,9.891224445391974e+18,0.990505006958075,3.442967133930362e+17
Ma_xp_A1900_s047z_n65_r12_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,A1900,n65,r12,v06,s047z,90000,0.002,341,9.715809252167664e+18,0,0.0,0.0,0.0,341,9.715809252167664e+18,1.0,4.7617941054843296e+17
Ma_xp_A1900_s047z_n65_r12_v08_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,s047z,90000,0.002,314,9.991404266739606e+18,0,0.0,0.0,0.0,314,9.991404266739606e+18,1.0,3.6720572110542656e+17
Ma_xp_A1900_s047z_n65_r12_v15_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,A1900,n65,r12,v15,s047z,90000,0.002,207,9.996380494481265e+18,0,0.0,0.0,0.0,207,9.996380494481265e+18,1.0,5.349761369889384e+17
Ma_xp_A1900_s047z_n65_r12_v20_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,A1900,n65,r12,v20,s047z,90000,0.002,129,9.99940358448657e+18,0,0.0,0.0,0.0,129,9.99940358448657e+18,1.0,7.125249036813028e+17
Ma_xp_A1900_s047z_n65_r14_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,A1900,n65,r14,v00,s047z,90000,0.002,347,9.8195503051923e+18,24,5.032352747058096e+17,0.05124830150722,6.7473469585102136e+16,323,9.316315030486491e+18,0.94875169849278,3.218878608856421e+17
Ma_xp_A1900_s047z_n65_r15_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,s047z,90000,0.002,314,9.992296948811438e+18,25,4.6428331396238746e+17,0.0464641229479887,9.92491527985624e+16,289,9.528013634849049e+18,0.953535877052011,3.12413401844163e+17
Ma_xp_A1900_s047z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s047z,90000,0.002,306,9.991948739493204e+18,15,3.075637956785839e+17,0.030781162283483,1.0979356411396749e+17,291,9.68438494381462e+18,0.9692188377165172,3.531665544335389e+17
Ma_xp_A1900_s047z_n65_r16_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,s047z,90000,0.002,316,9.98180635166848e+18,0,0.0,0.0,0.0,316,9.98180635166848e+18,1.0,4.1202026058094266e+17
Ma_xp_A1900_s047z_n65_r16_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,A1900,n65,r16,v06,s047z,90000,0.002,272,9.993677123941466e+18,0,0.0,0.0,0.0,272,9.993677123941466e+18,1.0,4.030048047339221e+17
Ma_xp_A1900_s047z_n65_r17_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,A1900,n65,r17,v00,s047z,90000,0.002,281,9.995946815597509e+18,9,2.425594467257166e+17,0.0242657800406891,1.4882466333913222e+17,272,9.753387368871793e+18,0.9757342199593112,4.033688417502168e+17
Ma_xp_A1900_s047z_n65_r20_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,A1900,n65,r20,v00,s047z,90000,0.002,202,9.997732179748305e+18,0,0.0,0.0,0.0,202,9.997732179748305e+18,1.0,2.0650110543253435e+18
Ma_xp_A1900_s047z_n65_r20_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,A1900,n65,r20,v02,s047z,90000,0.002,178,1.0002262066449392e+19,0,0.0,0.0,0.0,178,1.0002262066449392e+19,1.0,1.9052937703468964e+18
Ma_xp_A1900_s047z_n65_r20_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,A1900,n65,r20,v04,s047z,90000,0.002,156,1.0001264921588773e+19,0,0.0,0.0,0.0,156,1.0001264921588773e+19,1.0,2.287491485453542e+18
Ma_xp_A1900_s047z_n65_r20_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,A1900,n65,r20,v06,s047z,90000,0.002,140,1.0001619461991789e+19,0,0.0,0.0,0.0,140,1.0001619461991789e+19,1.0,2.323135457658424e+18
Ma_xp_A1900_s047z_n65_r22_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,A1900,n65,r22,v00,s047z,90000,0.002,2,1.001032152915326e+19,0,0.0,0.0,0.0,2,1.001032152915326e+19,1.0,7.349027338742925e+18
Ma_xp_A1900_s047z_n65_r24_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,A1900,n65,r24,v00,s047z,90000,0.002,175,1.00017049310674e+19,0,0.0,0.0,0.0,175,1.00017049310674e+19,1.0,9.758265464423983e+18
Ma_xp_A1900_s086mz_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s086mz_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s086mz,90000,0.002,146,9.994043162004857e+18,0,0.0,0.0,0.0,146,9.994043162004857e+18,1.0,3.111018850384888e+18
Ma_xp_A1900_s086x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s086x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s086x,90000,0.002,750,9.74725217978432e+18,0,0.0,0.0,0.0,750,9.74725217978432e+18,1.0,8.864554443819674e+17
Ma_xp_A1900_s086z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s086z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s086z,90000,0.002,349,9.98360508296e+18,21,3.239884843801418e+17,0.032452053310194,6.5269624571028856e+16,328,9.659616598579855e+18,0.967547946689806,5.0723370658981664e+17
Ma_xp_A1900_s086z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s086z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s086z,90000,0.002,253,9.987492476643766e+18,0,0.0,0.0,0.0,253,9.987492476643766e+18,1.0,6.041054062315533e+17
Ma_xp_A1900_s170mz_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170mz,90000,0.002,228,9.97517586331924e+18,0,0.0,0.0,0.0,228,9.97517586331924e+18,1.0,1.0986418814613632e+18
Ma_xp_A1900_s170x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170x,90000,0.002,119,9.935585164889352e+18,0,0.0,0.0,0.0,119,9.935585164889352e+18,1.0,8.701237132201935e+17
Ma_xp_A1900_s170y_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170y,90000,0.002,122,9.901726527537396e+18,1,1.4347522572828524e+16,0.0014489920048717,1.4347522572828524e+16,121,9.887379004964567e+18,0.9985510079951282,6.405665102164358e+17
Ma_xp_A1900_s170z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170z,90000,0.002,304,9.968540568387428e+18,12,2.0310760988418368e+17,0.0203748591371825,8.990019316711246e+16,292,9.765432958503246e+18,0.9796251408628176,4.953606126046652e+17
Ma_xp_A1900_s170z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s170z,90000,0.002,228,9.97716234619345e+18,0,0.0,0.0,0.0,228,9.97716234619345e+18,1.0,9.294023834140456e+17
Ma_xp_A1950_n65_r12_v00_90000_fof_0.0020_0000.hdf5,Ma_xp_A1950_n65_r12_v00_90000.hdf5,A1950,n65,r12,v00,,90000,0.002,273,3.1577043057890193e+19,38,2.88389359149743e+18,0.0913288044802164,6.757230787756746e+17,235,2.8693149466392764e+19,0.9086711955197836,1.9332891501077115e+18
Ma_xp_A1950_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1950_n65_r12_v00_90000.hdf5,A1950,n65,r12,v00,,90000,0.002,272,3.1587886678031434e+19,38,2.8849319146545874e+18,0.091330323679456,6.76105103333497e+17,234,2.8702954763376853e+19,0.9086696763205442,1.9334850601373617e+18
Ma_xp_A1950_n65_r16_v00_90000_fof_0.0020_0000.hdf5,Ma_xp_A1950_n65_r16_v00_90000.hdf5,A1950,n65,r16,v00,,90000,0.002,200,3.157659246483861e+19,2,6445439975561000.0,0.000204120820913,3506789530776349.5,198,3.157014702486305e+19,0.999795879179087,7.595745305745701e+18
Ma_xp_A1950_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1950_n65_r16_v00_90000.hdf5,A1950,n65,r16,v00,,90000,0.002,200,3.157659246483861e+19,2,6445439975561000.0,0.000204120820913,3506789530776349.5,198,3.157014702486305e+19,0.999795879179087,7.595745305745701e+18
Ma_xp_A2000_n65_r11_v00_90000_fof_0.0010_0000.hdf5,Ma_xp_A2000_n65_r11_v00_90000.hdf5,A2000,n65,r11,v00,,90000,0.001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ma_xp_A2000_n65_r12_v00_90000_fof_0.0010_0000.hdf5,Ma_xp_A2000_n65_r12_v00_90000.hdf5,A2000,n65,r12,v00,,90000,0.001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,Ma_xp_A2000_n65_r12_v02_90000.hdf5,A2000,n65,r12,v02,,90000,0.004,356,9.98618672089192e+19,99,1.7347155933770906e+19,0.1737115118975218,2.3802546881675643e+18,257,8.251471127514828e+19,0.8262884881024782,5.494134246929838e+18
Ma_xp_A2000_n65_r12_v04_90000_fof_0.0040_0000.hdf5,Ma_xp_A2000_n65_r12_v04_90000.hdf5,A2000,n65,r12,v04,,90000,0.004,328,9.987567997038164e+19,70,1.4377505141583843e+19,0.1439540150900351,2.1626882108024056e+18,258,8.54981748287978e+19,0.8560459849099649,7.90461596459033e+18
