simulation_id,filename,file_path,file_size_bytes,mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,fof_linking_length,chunk_index
Ma_xp_A1900_n50_r12_v00_70000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_70000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_70000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,70000,0.006,0
Ma_xp_A1900_n50_r12_v00_72000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_72000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_72000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,72000,0.006,0
Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,90000,0.006,0
Ma_xp_A1900_n50_r16_v00_72000_fof_0.006_0000,Ma_xp_A1900_n50_r16_v00_72000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r16_v00_72000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r16,16,v00,0,72000,0.006,0
Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000,Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r16,16,v00,0,90000,0.006,0
Ma_xp_A1900_n55_r12_v00_72000_fof_0.004_0000,Ma_xp_A1900_n55_r12_v00_72000_fof_0.004_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n55_r12_v00_72000_fof_0.004_0000.hdf5,71407403,A1900,1900,,,,,False,n55,55,r12,12,v00,0,72000,0.004,0
Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000,Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000.hdf5,71407403,A1900,1900,,,,,False,n55,55,r12,12,v00,0,90000,0.004,0
Ma_xp_A1900_n55_r16_v00_72000_fof_0.004_0000,Ma_xp_A1900_n55_r16_v00_72000_fof_0.004_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n55_r16_v00_72000_fof_0.004_0000.hdf5,71407403,A1900,1900,,,,,False,n55,55,r16,16,v00,0,72000,0.004,0
Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000,Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000.hdf5,71407403,A1900,1900,,,,,False,n55,55,r16,16,v00,0,90000,0.004,0
Ma_xp_A1900_n60_r12_v00_72000_fof_0.003_0000,Ma_xp_A1900_n60_r12_v00_72000_fof_0.003_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n60_r12_v00_72000_fof_0.003_0000.hdf5,140435651,A1900,1900,,,,,False,n60,60,r12,12,v00,0,72000,0.003,0
Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000,Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000.hdf5,140435651,A1900,1900,,,,,False,n60,60,r12,12,v00,0,90000,0.003,0
Ma_xp_A1900_n60_r16_v00_72000_fof_0.003_0000,Ma_xp_A1900_n60_r16_v00_72000_fof_0.003_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n60_r16_v00_72000_fof_0.003_0000.hdf5,140435651,A1900,1900,,,,,False,n60,60,r16,16,v00,0,72000,0.003,0
Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000,Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000.hdf5,140435651,A1900,1900,,,,,False,n60,60,r16,16,v00,0,90000,0.003,0
Ma_xp_A1900_n65_r11_v00_89000_fof_0.002_0000,Ma_xp_A1900_n65_r11_v00_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r11_v00_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r11,11,v00,0,89000,0.002,0
Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000,Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000.hdf5,462775088,A1900,1900,,,,,False,n65,65,r12,12,v00,0,90000,0.0019,0
Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r12_v02_90000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v02_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v02_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v02,2,90000,0.002,0
Ma_xp_A1900_n65_r12_v04_90000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v04_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v04_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v04,4,90000,0.002,0
Ma_xp_A1900_n65_r12_v06_89000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v06_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v06_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v06,6,89000,0.002,0
Ma_xp_A1900_n65_r12_v08_90000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v08_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v08_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v08,8,90000,0.002,0
Ma_xp_A1900_n65_r12_v10_90000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v10_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v10_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v10,10,90000,0.002,0
Ma_xp_A1900_n65_r12_v15_89000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v15_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v15_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v15,15,89000,0.002,0
Ma_xp_A1900_n65_r12_v20_89000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v20_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v20_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v20,20,89000,0.002,0
Ma_xp_A1900_n65_r12_v25_75000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v25_75000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v25_75000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v25,25,75000,0.002,0
Ma_xp_A1900_n65_r12_v30_65000_fof_0.002_0000,Ma_xp_A1900_n65_r12_v30_65000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v30_65000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r12,12,v30,30,65000,0.002,0
Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r13,13,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r14,14,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r14_v02_90000_fof_0.002_0000,Ma_xp_A1900_n65_r14_v02_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v02_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r14,14,v02,2,90000,0.002,0
Ma_xp_A1900_n65_r14_v04_89000_fof_0.002_0000,Ma_xp_A1900_n65_r14_v04_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v04_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r14,14,v04,4,89000,0.002,0
Ma_xp_A1900_n65_r14_v06_90000_fof_0.002_0000,Ma_xp_A1900_n65_r14_v06_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v06_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r14,14,v06,6,90000,0.002,0
Ma_xp_A1900_n65_r15_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r15_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r15_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r15,15,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r16_v00_90000_fof_0.0019_0000,Ma_xp_A1900_n65_r16_v00_90000_fof_0.0019_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v00_90000_fof_0.0019_0000.hdf5,462775088,A1900,1900,,,,,False,n65,65,r16,16,v00,0,90000,0.0019,0
Ma_xp_A1900_n65_r16_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r16_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r16,16,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r16_v02_90000_fof_0.002_0000,Ma_xp_A1900_n65_r16_v02_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v02_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r16,16,v02,2,90000,0.002,0
