task,dataset,feature_set,target,model,rows,unique_physical_files,train_accuracy,test_accuracy,accuracy_gap,train_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_gap,train_f1,test_f1,f1_gap,train_roc_auc,test_roc_auc,roc_auc_gap,train_mae,test_mae,mae_gap,train_rmse,test_rmse,rmse_gap,train_r2,test_r2,r2_gap
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,225,160,0.9688888888888889,0.8977777777777778,0.07111111111111112,0.9638908388908389,0.8693401193401193,0.09455071955071959,0.9764309764309764,0.9250814332247557,0.05134954320622076,0.9954369954369955,0.9104510354510355,0.08498595998596004,,,,,,,,,
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,225,160,0.9911111111111112,0.9022222222222223,0.0888888888888889,0.9901281151281152,0.8758336258336259,0.11429448929448927,0.9932432432432432,0.9281045751633987,0.06513866807984448,0.9992541242541242,0.943050193050193,0.05620393120393119,,,,,,,,,
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,225,160,0.9111111111111111,0.8977777777777778,0.013333333333333308,0.9012811512811513,0.888030888030888,0.013250263250263239,0.9324324324324325,0.9220338983050848,0.010398534127347703,0.9755616005616005,0.9381800631800632,0.037381537381537266,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,dummy_most_frequent,407,279,0.5528255528255528,0.5528255528255528,0.0,0.5,0.5,0.0,0.7120253164556962,0.7120253164556962,0.0,0.5,0.5,0.0,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,407,279,0.8574938574938575,0.8501228501228502,0.0073710073710073765,0.8574603174603175,0.8492185592185593,0.008241758241758212,0.8693693693693694,0.8635346756152126,0.0058346937541567945,0.9406837606837607,0.925030525030525,0.01565323565323573,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,407,279,0.9852579852579852,0.8968058968058968,0.0884520884520884,0.9861416361416362,0.8956410256410257,0.09050061050061053,0.9865470852017937,0.9066666666666666,0.07988041853512706,0.9982417582417583,0.9705006105006105,0.027741147741147776,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,407,279,0.9901719901719902,0.9287469287469288,0.061425061425061434,0.9905860805860807,0.9271550671550671,0.06343101343101354,0.9910714285714286,0.9359823399558499,0.05508908861557871,0.9994505494505495,0.9754212454212454,0.024029304029304033,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,dummy_most_frequent,407,279,0.5528255528255528,0.5528255528255528,0.0,0.5,0.5,0.0,0.7120253164556962,0.7120253164556962,0.0,0.5,0.5,0.0,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,407,279,0.8746928746928747,0.85995085995086,0.014742014742014753,0.8745909645909646,0.8591575091575092,0.015433455433455423,0.8853932584269663,0.87248322147651,0.012910036950456227,0.9355555555555556,0.9214163614163614,0.014139194139194178,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,407,279,0.9606879606879607,0.8845208845208845,0.07616707616707619,0.9602442002442002,0.8824297924297925,0.07781440781440774,0.9644444444444444,0.8962472406181016,0.06819720382634287,0.9826617826617827,0.9474481074481074,0.035213675213675355,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,407,279,0.9754299754299754,0.9164619164619164,0.05896805896805901,0.9735775335775336,0.9139438339438339,0.05963369963369969,0.9780701754385965,0.9254385964912281,0.052631578947368474,0.9862515262515262,0.9634432234432235,0.022808302808302705,,,,,,,,,
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,random_forest_regressor,225,160,,,,,,,,,,,,,3.63220165282537e+16,6.554340450530933e+16,2.922138797705563e+16,1.1178116072055898e+17,1.687604785735551e+17,5.697931785299613e+16,0.8110035836554702,0.5692177145253992,0.24178586913007105
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,,,,,,,,,,,,,2.6231178658997276e+16,7.883540707545938e+16,5.26042284164621e+16,3.890661902487848e+16,1.8349093409510694e+17,1.4458431507022848e+17,0.9771038045253618,0.49073296799846966,0.48637083652689217
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,ridge,225,160,,,,,,,,,,,,,9.297300258477306e+16,1.022620446164625e+17,9289042031689440.0,1.536070573992477e+17,1.780088625905061e+17,2.44018051912584e+16,0.6431064668777235,0.5207086513704277,0.12239781550729589
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,225,160,,,,,,,,,,,,,1.28297145283237e+17,1.2897173327336811e+17,674587990131120.0,2.5712353501113507e+17,2.5868411010492262e+17,1560575093787552.0,0.0,-0.012175555529168491,0.012175555529168491
regression,all_successful_runs,without_fof_linking_length,average_bound_fragment_mass_kg,random_forest_regressor,225,160,,,,,,,,,,,,,4.5154922154230376e+16,7.323150919160082e+16,2.807658703737044e+16,1.1964010666254586e+17,1.7254713807505507e+17,5.290703141250922e+16,0.7834940069034881,0.5496689833487631,0.233825023554725
regression,all_successful_runs,without_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,,,,,,,,,,,,,3.555671127844302e+16,8.494125780465043e+16,4.938454652620741e+16,5.653626490590387e+16,1.853905089725598e+17,1.2885424406665594e+17,0.9516528847504148,0.4801340980101384,0.47151878674027636
regression,all_successful_runs,without_fof_linking_length,average_bound_fragment_mass_kg,ridge,225,160,,,,,,,,,,,,,9.468567146333019e+16,1.0350792310996704e+17,8822251646636848.0,1.5834546356092534e+17,1.8149287874327488e+17,2.3147415182349536e+16,0.6207482521160315,0.5017635253874118,0.1189847267286197
regression,all_successful_runs,without_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,225,160,,,,,,,,,,,,,1.28297145283237e+17,1.2897173327336811e+17,674587990131120.0,2.5712353501113507e+17,2.5868411010492262e+17,1560575093787552.0,0.0,-0.012175555529168491,0.012175555529168491
regression,positive_bound_runs,with_fof_linking_length,average_bound_fragment_mass_kg,random_forest_regressor,225,160,,,,,,,,,,,,,3.63220165282537e+16,6.554340450530933e+16,2.922138797705563e+16,1.1178116072055894e+17,1.6876047857355514e+17,5.697931785299619e+16,0.8110035836554703,0.5692177145253992,0.24178586913007116
regression,positive_bound_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,,,,,,,,,,,,,2.6231178658997276e+16,7.883540707545938e+16,5.26042284164621e+16,3.890661902487848e+16,1.8349093409510694e+17,1.4458431507022848e+17,0.9771038045253618,0.49073296799846966,0.48637083652689217
regression,positive_bound_runs,with_fof_linking_length,average_bound_fragment_mass_kg,ridge,225,160,,,,,,,,,,,,,9.297300258477306e+16,1.022620446164625e+17,9289042031689440.0,1.536070573992477e+17,1.780088625905061e+17,2.44018051912584e+16,0.6431064668777235,0.5207086513704277,0.12239781550729589
regression,positive_bound_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,225,160,,,,,,,,,,,,,1.28297145283237e+17,1.2897173327336811e+17,674587990131120.0,2.5712353501113507e+17,2.5868411010492262e+17,1560575093787552.0,0.0,-0.012175555529168491,0.012175555529168491
regression,positive_bound_runs,without_fof_linking_length,average_bound_fragment_mass_kg,random_forest_regressor,225,160,,,,,,,,,,,,,4.5154922154230376e+16,7.323150919160082e+16,2.807658703737044e+16,1.1964010666254586e+17,1.7254713807505507e+17,5.290703141250922e+16,0.7834940069034881,0.5496689833487631,0.233825023554725
regression,positive_bound_runs,without_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,,,,,,,,,,,,,3.555671127844302e+16,8.494125780465043e+16,4.938454652620741e+16,5.653626490590387e+16,1.853905089725598e+17,1.2885424406665594e+17,0.9516528847504148,0.4801340980101384,0.47151878674027636
regression,positive_bound_runs,without_fof_linking_length,average_bound_fragment_mass_kg,ridge,225,160,,,,,,,,,,,,,9.468567146333019e+16,1.0350792310996704e+17,8822251646636848.0,1.5834546356092534e+17,1.8149287874327488e+17,2.3147415182349536e+16,0.6207482521160315,0.5017635253874118,0.1189847267286197
regression,positive_bound_runs,without_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,225,160,,,,,,,,,,,,,1.28297145283237e+17,1.2897173327336811e+17,674587990131120.0,2.5712353501113507e+17,2.5868411010492262e+17,1560575093787552.0,0.0,-0.012175555529168491,0.012175555529168491
regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,random_forest_regressor,407,279,,,,,,,,,,,,,33.77610710258437,65.9115112268294,32.135404124245035,113.68354391124826,189.30720849027298,75.62366457902472,0.8162541364429483,0.4904853604109257,0.3257687760320226
regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,gradient_boosting_regressor,407,279,,,,,,,,,,,,,53.15385974183331,84.29040874619623,31.136549004362926,132.18992264553657,197.89271614686987,65.7027935013333,0.7515614071050186,0.4432221075978885,0.3083392995071301
regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,ridge,407,279,,,,,,,,,,,,,114.53709055759163,118.94453642365286,4.407445866061238,230.75780090367658,241.21501580423637,10.45721490055979,0.2429315514368331,0.17276092023295464,0.07017063120387845
regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,dummy_mean,407,279,,,,,,,,,,,,,121.8034398034398,124.51415291390751,2.710713110467708,265.2093420036238,267.690050357929,2.480708354305193,0.0,-0.018795041898805875,0.018795041898805875
regression,all_successful_runs,without_fof_linking_length,bound_fragment_count,random_forest_regressor,407,279,,,,,,,,,,,,,64.79464942419456,85.59947755963285,20.804828135438285,191.43748832171744,237.52602183407552,46.08853351235808,0.4789536724386956,0.19787000981016212,0.28108366262853346
