mass_log10_kg,periapsis_Rm,v_inf_kms,spin_axis,has_explicit_spin,nearby_run_count,local_grouped_mae,local_grouped_rmse,mean_predicted_bmf,mean_actual_bmf,benchmark_disagreement_mean,sparse_region_flag,local_grouped_mae_percentage_points,benchmark_disagreement_percentage_points,sparse_threshold
19.0,1.5,0.0,none,False,1,0.0005025891784241417,0.0005025891784241417,0.0005025891784241417,0.0,7.066293153989685e-05,True,0.050258917842414166,0.007066293153989685,2.0
19.0,1.5,0.0,z,True,2,0.008481950585235397,0.00849093398118416,0.0455230921915034,0.0540050427767388,0.0018870767795436116,True,0.8481950585235397,0.18870767795436116,2.0
19.0,1.6,0.0,none,False,4,0.00048786647537138667,0.0009504312641239696,0.00048786647537138667,0.0,0.0026044138006195263,False,0.04878664753713867,0.2604413800619526,2.0
19.0,1.6,0.0,z,True,5,0.005486253883021375,0.006498061290911001,0.02913652692185727,0.026269954606680263,0.011692589647702433,False,0.5486253883021375,1.1692589647702434,2.0
19.0,1.6,0.2,none,False,1,0.00021630262237458834,0.00021630262237458834,0.00021630262237458834,0.0,8.165992175760374e-05,True,0.021630262237458835,0.008165992175760374,2.0
19.0,1.6,0.2,z,True,1,0.003208879132067771,0.003208879132067771,0.04296672087183687,0.0397578417397691,0.00010284528663773856,True,0.3208879132067771,0.010284528663773856,2.0
19.0,1.6,0.4,none,False,1,0.0003098748491972579,0.0003098748491972579,0.0003098748491972579,0.0,0.003662200018627395,True,0.030987484919725788,0.3662200018627395,2.0
19.0,1.6,0.4,z,True,2,0.025142937908907967,0.025214156755911998,0.029364876967427914,0.00422193905851995,0.00483431654373972,True,2.5142937908907967,0.483431654373972,2.0
19.0,1.6,0.6,z,True,1,0.011536926588381834,0.011536926588381834,0.011536926588381834,0.0,0.0160337912379827,True,1.1536926588381835,1.6033791237982702,2.0
19.0,1.7,0.0,none,False,1,1.4258898876485909e-05,1.4258898876485909e-05,1.4258898876485909e-05,0.0,0.0036068649296747647,True,0.0014258898876485908,0.36068649296747646,2.0
19.0,1.7,0.0,z,True,2,0.008300946766537188,0.008302654364310024,0.03454428172894215,0.034375900398884204,0.009069326915889823,True,0.8300946766537188,0.9069326915889823,2.0
