slice_dimension,slice_value,fixed_mass_log10_kg,fixed_periapsis_Rm,fixed_v_inf_kms,fixed_spin_period_hr,fixed_spin_axis,predicted_bmf,predicted_bmf_percent,positive_probability,positive_only_estimate,observed_mean_bmf,observed_mean_bmf_percent,observed_min_bmf,observed_max_bmf,nearby_support_count,unsupported_flag
periapsis,2.8,20.0,2.8,0.0,3.0,z,0.009904652127432221,0.9904652127432221,0.12641752709180873,0.07834872549151452,0.0,0.0,0.0,0.0,1,0
periapsis,3.0,20.0,3.0,0.0,3.0,z,0.009667296498724727,0.9667296498724727,0.12338805051489617,0.07834872549151452,0.0,0.0,0.0,0.0,1,0
velocity,0.0,20.0,2.0,0.0,3.0,z,0.21608296986162442,21.608296986162443,0.9818432934948321,0.2200788774474241,0.2208863988542271,22.088639885422708,0.2208863988542271,0.2208863988542271,1,0
velocity,0.2,20.0,2.0,0.2,3.0,z,0.21023274565641817,21.023274565641817,0.9939612858125886,0.21150999405831744,0.2209883398113789,22.09883398113789,0.2209883398113789,0.2209883398113789,1,0
velocity,0.4,20.0,2.0,0.4,3.0,z,0.16083355290735166,16.083355290735167,0.9931744464314961,0.1619388753760542,0.1674690312999344,16.74690312999344,0.1674690312999344,0.1674690312999344,1,0
velocity,0.6,20.0,2.0,0.6,3.0,z,0.09829277169795561,9.829277169795562,0.9918755265083575,0.09909788987734178,0.1079746069445296,10.79746069445296,0.1079746069445296,0.1079746069445296,1,0
velocity,0.8,20.0,2.0,0.8,3.0,z,0.04013989272457009,4.0139892724570085,0.9304745422635512,0.04313916276196271,0.0404853251851173,4.04853251851173,0.0404853251851173,0.0404853251851173,1,0
velocity,1.0,20.0,2.0,1.0,3.0,z,0.0016736570346810838,0.1673657034681084,0.07729902266361778,0.021651723100877207,0.0,0.0,0.0,0.0,1,0
velocity,1.2,20.0,2.0,1.2,3.0,z,0.0008998817500721214,0.08998817500721214,0.041561669058831775,0.021651723100877207,,,,,0,1
velocity,1.4,20.0,2.0,1.4,3.0,z,0.000761918808799896,0.0761918808799896,0.03518975396323202,0.021651723100877207,,,,,0,1
velocity,1.5,20.0,2.0,1.5,3.0,z,0.0007358370276204676,0.07358370276204676,0.0339851486273005,0.021651723100877207,,,,,0,1
velocity,1.6,20.0,2.0,1.6,3.0,z,0.0006471875138590068,0.06471875138590068,0.0339851486273005,0.019043245064378406,,,,,0,1
velocity,2.0,20.0,2.0,2.0,3.0,z,0.0006744209208493174,0.06744209208493174,0.03541523088997391,0.019043245064378406,,,,,0,1
mass,18.0,18.0,2.0,0.0,3.0,z,0.029471988750321643,2.9471988750321643,0.8682830055720451,0.03394283725604512,,,,,0,1
mass,18.5,18.5,2.0,0.0,3.0,z,0.029531424131891488,2.953142413189149,0.8700340489842825,0.03394283725604512,,,,,0,1
mass,19.0,19.0,2.0,0.0,3.0,z,0.03387111848704052,3.387111848704052,0.8671689519923765,0.03905942251417033,0.0202345482596365,2.02345482596365,0.0202345482596365,0.0202345482596365,1,0
mass,19.5,19.5,2.0,0.0,3.0,z,0.08394769866325341,8.39476986632534,0.9811536437090917,0.08556019661294106,,,,,0,1
mass,20.0,20.0,2.0,0.0,3.0,z,0.21608296986162442,21.608296986162443,0.9818432934948321,0.2200788774474241,0.2208863988542271,22.088639885422708,0.2208863988542271,0.2208863988542271,1,0
mass,20.5,20.5,2.0,0.0,3.0,z,0.20145070129426576,20.145070129426575,0.9840360414614404,0.2047188241144922,,,,,0,1
mass,21.0,21.0,2.0,0.0,3.0,z,0.19983154205439121,19.98315420543912,0.9853663784544604,0.202799229224591,,,,,0,1
spin,3.0,20.0,2.0,0.0,3.0,z,0.21608296986162442,21.608296986162443,0.9818432934948321,0.2200788774474241,0.2208863988542271,22.088639885422708,0.2208863988542271,0.2208863988542271,1,0
spin,3.5,20.0,2.0,0.0,3.5,z,0.19488811719362928,19.48881171936293,0.9257677015397634,0.2105151398882093,,,,,0,1
spin,3.6,20.0,2.0,0.0,3.6,z,0.1820087281530914,18.20087281530914,0.9051711409600468,0.20107659194707475,0.2042005782441573,20.42005782441573,0.2042005782441573,0.2042005782441573,1,0
spin,4.7,20.0,2.0,0.0,4.7,z,0.12853909554122386,12.853909554122387,0.794038334606425,0.16188021401376781,0.1510742660102501,15.10742660102501,0.1510742660102501,0.1510742660102501,1,0
spin,8.6,20.0,2.0,0.0,8.6,z,0.01215801748068219,1.215801748068219,0.08778141986607932,0.13850331310692682,0.0,0.0,0.0,0.0,1,0
spin,17.0,20.0,2.0,0.0,17.0,z,0.006576194230205817,0.6576194230205816,0.05431989294860351,0.12106419717041952,0.0,0.0,0.0,0.0,1,0
