dataset,feature_set,target,model,importance_type,rank,feature,importance
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,7,cat__spin_axis_none,0.002634539301976753
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,8,cat__spin_axis_x,0.0016879973334961362
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,9,cat__spin_axis_y,0.0016503968166017588
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,11,num__timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,1,periapsis_Rm,2.337542893460802e+19
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,2,spin_axis,7.831659346706134e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,3,spin_period_hr,3.516835383236418e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,4,v_inf_kms,1.5491996649076516e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,5,has_explicit_spin,2.287746390657193e+17
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,6,timestep,-204.8
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,7,fof_linking_length,-307.2
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,8,particle_log10,-819.2
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,permutation_importance,9,mass_log10_kg,-1331.2
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,1,cat__spin_axis_mz,4.143994047644275e+19
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,2,cat__spin_axis_z,2.9008320277372334e+19
