target,feature_set,model,params_json,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7968006904265609,0.02588933093447607,0.04194398744586053,0.7895338334926427,0.05409620135001073,0.02587894723347569,0.004898714661387058,0.04135821341127667,0.006937226696522468
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.7234380604260049,0.03903769062996723,0.04893333401283337,0.7133256655512649,0.028548232010820823,0.03901264249720201,0.00494162019176111,0.04861168824771879,0.005368468083752858
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.7088890097844643,0.04034676802831183,0.05020395151622087,0.6971436338709406,0.022402074883388773,0.04032402849511561,0.004372830206539765,0.04994848647946244,0.004821408131031155
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.8160566167612268,0.02756486939559964,0.0399071474617637,0.8121393204671488,0.046138333010076894,0.027537825107666586,0.005267610867322036,0.03922175893324116,0.007177788511960458
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.811035928480126,0.028536081546489792,0.04044810872755645,0.8065242406282328,0.0435818036770287,0.028509928159846987,0.005050393330770077,0.03983595785495954,0.006817440716400881
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.7838120762321302,0.03231661496931215,0.04326376551056047,0.7779867578144894,0.04262960557296334,0.0322901306595839,0.00506779763668384,0.04272745673450171,0.006562338971001912
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.7696922817208403,0.03341843317356224,0.044654254893129915,0.761223711230872,0.03191874680022096,0.03339427229005075,0.0044009128121628716,0.04430847434435558,0.005299933649567911
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.8390467520608578,0.024394828336319844,0.03733004153872485,0.8359342237031899,0.04152504590710389,0.024371770924046986,0.0040194167962683295,0.036674073810826796,0.006761113015260616
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.8346194999634333,0.024673920345917907,0.03783996718288444,0.830944372310585,0.040487147541390794,0.024651363270950903,0.0039024851126161554,0.03723043128345296,0.006558261747050506
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.783978895541617,0.03221275622821434,0.043247070257244474,0.7779077354114741,0.0397315249466938,0.03218647303272867,0.005143841186384651,0.04274962636724569,0.006321098850961968
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.7711973292717471,0.033240152948446074,0.04450810925850517,0.762815333511696,0.02975511774717474,0.03321615416044783,0.004428994107226503,0.04417620896674489,0.005181067869461762
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8381898885413314,0.024182167696324208,0.037429276230558146,0.8348051446610807,0.04211528120859915,0.024160370778709313,0.003772648317101284,0.03677342338670343,0.00677706784376163
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.8339139205991125,0.024886506648615764,0.03792060148774838,0.8300800982022606,0.04063869436164117,0.024863784596310147,0.003962215462626699,0.037314587950569626,0.006548875868423261
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8023902553854462,0.029577250821660246,0.041363071353451936,0.7971597004191272,0.04530941170181355,0.029554352161867338,0.004319917923004537,0.04077156025403522,0.0067432763753513805
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.7887069191608781,0.031095700403923364,0.04277118063788701,0.7803331051546473,0.04151262584897417,0.031077091917310073,0.004195318957177704,0.04235723467008548,0.005706339142204557
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8416452237665811,0.02389589880043347,0.037027482400788035,0.8372466309180722,0.03592768026951447,0.023874127199216968,0.0040107252999669225,0.03651394498339524,0.005934304904942074
bound_mass_fraction,without_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.8390926456793087,0.0238736265625317,0.037324719083766215,0.8341736097674002,0.031767826680768316,0.02385482164030992,0.003270689662075484,0.0368906691600996,0.005459854215783117
