dataset,feature_set,target,model,train_rows,test_rows,mae,rmse,r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,mae_gap,rmse_gap,r2_gap
clean_subset,without_fof_linking_length,fragment_count_min_particles,dummy_mean,132,34,377.26559714795013,810.2945834009648,-0.00025233202539132193,344.544536271809,723.3849945370692,0.0,377.26559714795013,810.2945834009648,-0.00025233202539132193,32.72106087614111,86.90958886389558,0.00025233202539132193
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,132,34,8.254951316202414e+18,1.399442130915724e+19,0.8143801857837525,2.287790138351106e+18,3.1593317705503867e+18,0.9912712965901206,8.254951316202414e+18,1.399442130915724e+19,0.8143801857837525,5.967161177851308e+18,1.0835089538606854e+19,0.1768911108063681
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,random_forest,132,34,8.264496780924493e+18,1.345326746738104e+19,0.8284581861269696,3.5656766009464305e+18,6.823615455442392e+18,0.9592818202014971,8.264496780924493e+18,1.345326746738104e+19,0.8284581861269696,4.698820179978062e+18,6.629652011938647e+18,0.13082363407452746
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,ridge,132,34,1.6749000165293373e+19,1.9653281166080795e+19,0.6339127703466254,1.559327537643665e+19,1.8671769140612657e+19,0.6951191086288969,1.6749000165293373e+19,1.9653281166080795e+19,0.6339127703466254,1.1557247888567235e+18,9.815120254681375e+17,0.06120633828227151
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,dummy_mean,132,34,2.601121273930692e+19,3.314108280736584e+19,-0.040993056019209106,2.8583721732890333e+19,3.3815854511700476e+19,0.0,2.601121273930692e+19,3.314108280736584e+19,-0.040993056019209106,-2.572508993583411e+18,-6.74771704334635e+17,0.040993056019209106
clean_subset,without_fof_linking_length,largest_fragment_particle_count,random_forest,132,34,261170.67073034061,425870.98752776615,0.8303296414362927,111908.66854407827,214175.17533354688,0.9604423932125158,261170.67073034061,425870.98752776615,0.8303296414362927,149262.00218626234,211695.81219421927,0.13011275177622306
clean_subset,without_fof_linking_length,largest_fragment_particle_count,gradient_boosting,132,34,271756.2536008814,448845.72175361816,0.8115292112424674,72602.4595961517,104706.80785994443,0.9905454342519252,271756.2536008814,448845.72175361816,0.8115292112424674,199153.79400472966,344138.91389367374,0.17901622300945785
clean_subset,without_fof_linking_length,largest_fragment_particle_count,ridge,132,34,534024.0797065382,626186.9438009254,0.6331758798692197,497169.0225797411,594381.4459573257,0.695335231483347,534024.0797065382,626186.9438009254,0.6331758798692197,36855.05712679715,31805.497843599645,0.06215935161412722
clean_subset,without_fof_linking_length,largest_fragment_particle_count,dummy_mean,132,34,827109.3663101604,1055122.9870888405,-0.04149223805908453,910096.395661157,1076847.3075739439,0.0,827109.3663101604,1055122.9870888405,-0.04149223805908453,-82987.0293509966,-21724.32048510341,0.04149223805908453
full,with_fof_linking_length,fragment_count_min_particles,random_forest,391,98,131.5205873191434,277.2701063571621,0.7365385357928225,96.13991694721872,272.0969130424666,0.9151564461395306,131.5205873191434,277.2701063571621,0.7365385357928225,35.38067037192468,5.173193314695482,0.17861791034670815
full,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,391,98,145.65791759662494,313.67534059720566,0.6628122723525471,121.75675548006738,294.14996077395523,0.9008462344925788,145.65791759662494,313.67534059720566,0.6628122723525471,23.901162116557558,19.525379823250432,0.2380339621400317
full,with_fof_linking_length,fragment_count_min_particles,ridge,391,98,311.8796055186729,479.9766790570031,0.2105015600559561,423.3740466790979,825.6209040920479,0.2188526153395418,311.8796055186729,479.9766790570031,0.2105015600559561,-111.49444116042497,-345.6442250350448,0.008351055283585707
full,with_fof_linking_length,fragment_count_min_particles,dummy_mean,391,98,338.6975311863876,548.7311588343385,-0.03188249801306564,433.14969159019114,934.1447748244873,0.0,338.6975311863876,548.7311588343385,-0.03188249801306564,-94.45216040380353,-385.41361599014874,0.03188249801306564
full,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,391,98,7.154710886347281e+18,1.2178811684098925e+19,0.8849501930288157,5.207834992237296e+18,7.77256995095466e+18,0.968614558033136,7.154710886347281e+18,1.2178811684098925e+19,0.8849501930288157,1.9468758941099858e+18,4.4062417331442647e+18,0.08366436500432028
full,with_fof_linking_length,largest_fragment_mass_kg,random_forest,391,98,1.1083140368736844e+19,3.45939672453328e+19,0.07172468076247884,3.960746730008387e+18,1.4332394767811543e+19,0.8932822908998157,1.1083140368736844e+19,3.45939672453328e+19,0.07172468076247884,7.122393638728456e+18,2.0261572477521256e+19,0.8215576101373369
full,with_fof_linking_length,largest_fragment_mass_kg,ridge,391,98,1.9609083100086247e+19,2.4035647023340995e+19,0.551886839249826,1.9500933775012536e+19,3.355266924310623e+19,0.415138381800769,1.9609083100086247e+19,2.4035647023340995e+19,0.551886839249826,1.081493250737111e+17,-9.517022219765236e+18,-0.13674845744905695
full,with_fof_linking_length,largest_fragment_mass_kg,dummy_mean,391,98,2.9237782108706853e+19,3.6043937927287603e+19,-0.0077215132131107644,2.7047395391241884e+19,4.387332152943435e+19,0.0,2.9237782108706853e+19,3.6043937927287603e+19,-0.0077215132131107644,2.1903867174649692e+18,-7.829383602146746e+18,0.0077215132131107644
full,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,391,98,208553.9578091623,375799.13545129553,0.9019873295842966,139925.27938877765,226090.97257354044,0.9530620561378541,208553.9578091623,375799.13545129553,0.9019873295842966,68628.67842038465,149708.1628777551,0.05107472655355749
full,with_fof_linking_length,largest_fragment_particle_count,random_forest,391,98,233418.02805918525,443853.9575901691,0.8632740776294602,111477.29468160153,227051.35390557806,0.9526624464975211,233418.02805918525,443853.9575901691,0.8632740776294602,121940.73337758372,216802.60368459104,0.0893883688680609
full,with_fof_linking_length,largest_fragment_particle_count,ridge,391,98,559605.8417723489,714294.2372627789,0.6459007870840425,501052.72510943556,634461.0154413012,0.6303697542654135,559605.8417723489,714294.2372627789,0.6459007870840425,58553.11666291329,79833.22182147775,-0.015531032818628998
full,with_fof_linking_length,largest_fragment_particle_count,dummy_mean,391,98,993056.0916801502,1220169.5153915707,-0.03326331275732519,839296.7955599453,1043569.0525552104,0.0,993056.0916801502,1220169.5153915707,-0.03326331275732519,153759.29612020496,176600.46283636033,0.03326331275732519
full,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,391,98,206.45356726104987,302.3059865944804,0.6868124435396861,275.7430991441853,746.5403720841011,0.36132749522688346,206.45356726104987,302.3059865944804,0.6868124435396861,-69.28953188313542,-444.23438548962076,-0.3254849483128026
