dataset,target,model,importance_type,rank,feature,importance
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,5,fof_linking_length,0.0
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,6,timestep,0.0
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,7,particle_log10,0.0
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,8,mass_log10_kg,0.0
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,9,v_inf_kms,-6.512241731310633e+16
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,1,num__periapsis_Rm,0.39584625031822174
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,2,cat__spin_axis_mz,0.25611353125759123
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,3,cat__spin_axis_z,0.2052347130772968
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,4,num__spin_period_hr,0.1227757927471025
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,5,num__v_inf_kms,0.006495145402988585
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,6,cat__spin_axis_y,0.005283515035585464
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,7,num__has_explicit_spin,0.0038961773896891753
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,8,cat__spin_axis_none,0.003502267778926516
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,9,cat__spin_axis_x,0.000852606992598063
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,11,num__timestep,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,12,num__particle_log10,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,1,periapsis_Rm,838171.869761779
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,2,spin_axis,251010.25235312345
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,3,spin_period_hr,116592.2269730086
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,4,v_inf_kms,35153.29441806849
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,5,has_explicit_spin,1652.7202739806612
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,6,fof_linking_length,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,7,timestep,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,8,particle_log10,0.0
clean_subset,largest_fragment_particle_count,gradient_boosting,permutation_importance,9,mass_log10_kg,0.0
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,1,num__periapsis_Rm,0.4191594106859919
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,2,cat__spin_axis_mz,0.24535833175964228
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,3,cat__spin_axis_z,0.18483890701893246
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,4,num__spin_period_hr,0.11785075742642083
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,5,num__v_inf_kms,0.021675191808644977
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,6,num__has_explicit_spin,0.00411368816215032
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,7,cat__spin_axis_none,0.0035787363926285194
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,8,cat__spin_axis_x,0.0018050932581262166
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,9,cat__spin_axis_y,0.0016198834874625594
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,11,num__timestep,0.0
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,12,num__particle_log10,0.0
clean_subset,largest_fragment_particle_count,random_forest,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,1,periapsis_Rm,750320.289026828
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,2,spin_axis,259494.8812368506
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,3,spin_period_hr,110691.77490699796
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,4,v_inf_kms,49980.954083366065
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,5,has_explicit_spin,2607.1502394254903
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,6,fof_linking_length,4.3655745685100555e-11
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,7,particle_log10,1.1641532182693482e-11
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,8,timestep,8.73114913702011e-12
clean_subset,largest_fragment_particle_count,random_forest,permutation_importance,9,mass_log10_kg,5.820766091346741e-12
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,1,cat__spin_axis_mz,1311394.8258017993
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,2,cat__spin_axis_z,919672.2556889986
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,3,num__periapsis_Rm,692825.2623501787
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,4,cat__spin_axis_y,207538.5915755416
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,5,cat__spin_axis_x,196768.11254763466
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,6,num__has_explicit_spin,30782.336428674003
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,7,num__spin_period_hr,21319.669210159103
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,8,cat__spin_axis_none,12584.134010330652
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,9,num__v_inf_kms,6148.0347642869265
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,10,num__fof_linking_length,0.0
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,11,num__timestep,0.0
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,12,num__particle_log10,0.0
clean_subset,largest_fragment_particle_count,ridge,absolute_coefficient,13,num__mass_log10_kg,0.0
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,1,periapsis_Rm,574317.9157564893
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,2,spin_axis,136330.35808588684
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,3,spin_period_hr,1772.6543796282263
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,4,fof_linking_length,0.0
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,5,timestep,0.0
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,6,particle_log10,0.0
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,7,mass_log10_kg,0.0
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,8,has_explicit_spin,-1.1641532182693482e-11
clean_subset,largest_fragment_particle_count,ridge,permutation_importance,9,v_inf_kms,-2120.1502486295185
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,1,num__fof_linking_length,0.5497652758774397
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,2,num__mass_log10_kg,0.12681356919551742
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,3,num__periapsis_Rm,0.11333361812011435
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,4,num__spin_period_hr,0.08247489503270808
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,5,cat__spin_axis_y,0.07908900316877518
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,6,cat__spin_axis_x,0.03562851534976142
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,7,num__v_inf_kms,0.004273152728188137
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,8,num__particle_log10,0.003614658301148868
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,9,cat__spin_axis_z,0.0022839964382298824
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,10,cat__spin_axis_mz,0.0021153720448943377
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,11,num__timestep,0.00023579774961713428
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,12,cat__spin_axis_none,0.00020701705257231197
full,fragment_count_min_particles,gradient_boosting,model_feature_importance,13,num__has_explicit_spin,0.0001651289410331082
full,fragment_count_min_particles,gradient_boosting,permutation_importance,1,mass_log10_kg,713.1837546109999
full,fragment_count_min_particles,gradient_boosting,permutation_importance,2,fof_linking_length,682.3327502070063
full,fragment_count_min_particles,gradient_boosting,permutation_importance,3,periapsis_Rm,134.12727701565808
full,fragment_count_min_particles,gradient_boosting,permutation_importance,4,spin_axis,80.67297554564988
full,fragment_count_min_particles,gradient_boosting,permutation_importance,5,spin_period_hr,30.726544678316323
full,fragment_count_min_particles,gradient_boosting,permutation_importance,6,particle_log10,21.59104197991002
full,fragment_count_min_particles,gradient_boosting,permutation_importance,7,v_inf_kms,5.683727558238948
full,fragment_count_min_particles,gradient_boosting,permutation_importance,8,timestep,0.6786872208188157
full,fragment_count_min_particles,gradient_boosting,permutation_importance,9,has_explicit_spin,0.3703504940808756
full,fragment_count_min_particles,random_forest,model_feature_importance,1,num__fof_linking_length,0.32828715382928164
full,fragment_count_min_particles,random_forest,model_feature_importance,2,num__mass_log10_kg,0.2613899089184843
full,fragment_count_min_particles,random_forest,model_feature_importance,3,num__periapsis_Rm,0.1702096973010104
full,fragment_count_min_particles,random_forest,model_feature_importance,4,num__spin_period_hr,0.09389143645015867
full,fragment_count_min_particles,random_forest,model_feature_importance,5,cat__spin_axis_y,0.08692195176260269
full,fragment_count_min_particles,random_forest,model_feature_importance,6,cat__spin_axis_x,0.03517660491805897
full,fragment_count_min_particles,random_forest,model_feature_importance,7,num__particle_log10,0.008693068389038293
full,fragment_count_min_particles,random_forest,model_feature_importance,8,num__v_inf_kms,0.007966271028921865
full,fragment_count_min_particles,random_forest,model_feature_importance,9,cat__spin_axis_z,0.003754967166635208
full,fragment_count_min_particles,random_forest,model_feature_importance,10,num__timestep,0.001139172133513466
full,fragment_count_min_particles,random_forest,model_feature_importance,11,cat__spin_axis_mz,0.0009445010012157717
full,fragment_count_min_particles,random_forest,model_feature_importance,12,num__has_explicit_spin,0.0008549695062245057
full,fragment_count_min_particles,random_forest,model_feature_importance,13,cat__spin_axis_none,0.0007702975948541277
full,fragment_count_min_particles,random_forest,permutation_importance,1,mass_log10_kg,637.4135945878573
full,fragment_count_min_particles,random_forest,permutation_importance,2,fof_linking_length,625.357234952
full,fragment_count_min_particles,random_forest,permutation_importance,3,periapsis_Rm,128.6854926160291
full,fragment_count_min_particles,random_forest,permutation_importance,4,spin_axis,78.50625615001972
full,fragment_count_min_particles,random_forest,permutation_importance,5,particle_log10,33.31454416909622
full,fragment_count_min_particles,random_forest,permutation_importance,6,spin_period_hr,26.6694956829735
full,fragment_count_min_particles,random_forest,permutation_importance,7,v_inf_kms,5.487257442208241
full,fragment_count_min_particles,random_forest,permutation_importance,8,timestep,2.4576850676345687
full,fragment_count_min_particles,random_forest,permutation_importance,9,has_explicit_spin,0.8578883416470319
full,fragment_count_min_particles,ridge,absolute_coefficient,1,cat__spin_axis_y,714.1949572882231
full,fragment_count_min_particles,ridge,absolute_coefficient,2,cat__spin_axis_mz,490.52711813485746
full,fragment_count_min_particles,ridge,absolute_coefficient,3,num__mass_log10_kg,316.80911632981525
full,fragment_count_min_particles,ridge,absolute_coefficient,4,cat__spin_axis_z,309.53817438667886
full,fragment_count_min_particles,ridge,absolute_coefficient,5,num__fof_linking_length,285.7065278460951
full,fragment_count_min_particles,ridge,absolute_coefficient,6,num__periapsis_Rm,202.25877713830334
full,fragment_count_min_particles,ridge,absolute_coefficient,7,num__spin_period_hr,157.41587355032192
full,fragment_count_min_particles,ridge,absolute_coefficient,8,cat__spin_axis_x,136.40741636846033
full,fragment_count_min_particles,ridge,absolute_coefficient,9,num__v_inf_kms,128.67798443666032
full,fragment_count_min_particles,ridge,absolute_coefficient,10,num__has_explicit_spin,101.6909773000923
full,fragment_count_min_particles,ridge,absolute_coefficient,11,cat__spin_axis_none,50.537081135095185
full,fragment_count_min_particles,ridge,absolute_coefficient,12,num__particle_log10,31.090177585203463
full,fragment_count_min_particles,ridge,absolute_coefficient,13,num__timestep,4.145484402109852
full,fragment_count_min_particles,ridge,permutation_importance,1,mass_log10_kg,179.29176197975977
full,fragment_count_min_particles,ridge,permutation_importance,2,fof_linking_length,117.7525042160293
full,fragment_count_min_particles,ridge,permutation_importance,3,periapsis_Rm,87.09589273990319
full,fragment_count_min_particles,ridge,permutation_importance,4,spin_axis,50.00845441934464
full,fragment_count_min_particles,ridge,permutation_importance,5,has_explicit_spin,32.77234771222139
full,fragment_count_min_particles,ridge,permutation_importance,6,spin_period_hr,31.0896982627897
full,fragment_count_min_particles,ridge,permutation_importance,7,v_inf_kms,19.82374642745549
full,fragment_count_min_particles,ridge,permutation_importance,8,particle_log10,6.862726491963537
full,fragment_count_min_particles,ridge,permutation_importance,9,timestep,-0.8169884458360854
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,1,num__mass_log10_kg,0.45932553127975
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,2,num__periapsis_Rm,0.274148374794408
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,3,num__fof_linking_length,0.12807030587262708
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,4,cat__spin_axis_z,0.0699446914041797
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,5,cat__spin_axis_mz,0.03228889986680188
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,6,num__particle_log10,0.01514878934238858
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,7,num__spin_period_hr,0.014255083170418778
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,8,num__timestep,0.0024014875074858883
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,9,num__v_inf_kms,0.0018886401163195454
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,10,cat__spin_axis_none,0.001679002834322771
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,11,num__has_explicit_spin,0.0007463822318080787
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,12,cat__spin_axis_y,0.00010281157948953995
full,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,13,cat__spin_axis_x,0.0
full,largest_fragment_mass_kg,gradient_boosting,permutation_importance,1,periapsis_Rm,2.0103605084935234e+19
full,largest_fragment_mass_kg,gradient_boosting,permutation_importance,2,fof_linking_length,9.69538805480906e+18
full,largest_fragment_mass_kg,gradient_boosting,permutation_importance,3,mass_log10_kg,7.320150494584191e+18
full,largest_fragment_mass_kg,gradient_boosting,permutation_importance,4,spin_axis,4.928272556105271e+18
full,largest_fragment_mass_kg,gradient_boosting,permutation_importance,5,particle_log10,1.765082327374796e+18
