mass_code,spin_code,spin_orientation,spin_period_hr,resolution_code,periapsis_code,periapsis_rm,velocity_code,v_inf_kms,v_inf_source,timestep,fof_linking_length,physical_output_type,physical_snapshot_date,physical_file,scenario_name,fof_file,row_count_aggregated,physical_file_count,n_fragments,n_fragments_min,n_fragments_max,total_fragment_mass_kg,total_fragment_mass_kg_min,total_fragment_mass_kg_max,bound_fragment_count,bound_fragment_count_min,bound_fragment_count_max,bound_mass_kg,bound_mass_kg_min,bound_mass_kg_max,bound_mass_fraction,bound_mass_fraction_min,bound_mass_fraction_max,largest_bound_fragment_mass_kg,largest_bound_fragment_mass_kg_min,largest_bound_fragment_mass_kg_max,unbound_fragment_count,unbound_fragment_count_min,unbound_fragment_count_max,unbound_mass_kg,unbound_mass_kg_min,unbound_mass_kg_max,unbound_mass_fraction,unbound_mass_fraction_min,unbound_mass_fraction_max,largest_unbound_fragment_mass_kg,largest_unbound_fragment_mass_kg_min,largest_unbound_fragment_mass_kg_max
A1900,,no_spin,,n70,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.001,FullVolume,21:34:33 2023-01-08 GMT,Ma_xp_A1900_n70_r12_v00_90000.hdf5,Ma_xp_A1900_n70_r12_v00_90000,Ma_xp_A1900_n70_r12_v00_90000_fof_0.001_0000.hdf5,1,1,1189,1189,1189,9.75248906539e+18,9.75248906539e+18,9.75248906539e+18,2,2,2,1.18375592143e+17,1.18375592143e+17,1.18375592143e+17,0.0121379876818,0.0121379876818,0.0121379876818,1.18355793417e+17,1.18355793417e+17,1.18355793417e+17,1187,1187,1187,9.63411347325e+18,9.63411347325e+18,9.63411347325e+18,0.987862012318,0.987862012318,0.987862012318,5.16919984502e+17,5.16919984502e+17,5.16919984502e+17
A1900,,no_spin,,n65,r13,1.3,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,10:41:40 2022-07-08 BST,Ma_xp_A1900_n65_r13_v00_90000.hdf5,Ma_xp_A1900_n65_r13_v00_90000,Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000.hdf5,1,1,252,252,252,9.98557148596e+18,9.98557148596e+18,9.98557148596e+18,0,0,0,0,0,0,0,0,0,0,0,0,252,252,252,9.98557148596e+18,9.98557148596e+18,9.98557148596e+18,1,1,1,7.1849826401e+17,7.1849826401e+17,7.1849826401e+17
A1900,,no_spin,,n65,r14,1.4,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,10:42:54 2022-07-18 BST,Ma_xp_A1900_n65_r14_v00_90000.hdf5,Ma_xp_A1900_n65_r14_v00_90000,Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000.hdf5,1,1,248,248,248,9.98832836434e+18,9.98832836434e+18,9.98832836434e+18,0,0,0,0,0,0,0,0,0,0,0,0,248,248,248,9.98832836434e+18,9.98832836434e+18,9.98832836434e+18,1,1,1,8.00894853921e+17,8.00894853921e+17,8.00894853921e+17
A1900,,no_spin,,n65,r15,1.5,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,14:32:03 2022-07-11 BST,Ma_xp_A1900_n65_r15_v00_90000.hdf5,Ma_xp_A1900_n65_r15_v00_90000,Ma_xp_A1900_n65_r15_v00_90000_fof_0.002_0000.hdf5,1,1,198,198,198,9.98777079343e+18,9.98777079343e+18,9.98777079343e+18,0,0,0,0,0,0,0,0,0,0,0,0,198,198,198,9.98777079343e+18,9.98777079343e+18,9.98777079343e+18,1,1,1,9.76436761824e+17,9.76436761824e+17,9.76436761824e+17
A1900,,no_spin,,n50,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.006,FullVolume,00:16:41 2022-03-07 GMT,Ma_xp_A1900_n50_r16_v00_90000.hdf5,Ma_xp_A1900_n50_r16_v00_90000,Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000.hdf5,1,1,17,17,17,9.99018536021e+18,9.99018536021e+18,9.99018536021e+18,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,9.99018536021e+18,9.99018536021e+18,9.99018536021e+18,1,1,1,4.20996938304e+18,4.20996938304e+18,4.20996938304e+18
A1900,,no_spin,,n55,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.004,FullVolume,09:47:42 2022-03-07 GMT,Ma_xp_A1900_n55_r16_v00_90000.hdf5,Ma_xp_A1900_n55_r16_v00_90000,Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000.hdf5,1,1,36,36,36,9.99037525594e+18,9.99037525594e+18,9.99037525594e+18,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,9.99037525594e+18,9.99037525594e+18,9.99037525594e+18,1,1,1,2.83755582213e+18,2.83755582213e+18,2.83755582213e+18
A1900,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.003,FullVolume,01:09:47 2022-03-11 GMT,Ma_xp_A1900_n60_r16_v00_90000.hdf5,Ma_xp_A1900_n60_r16_v00_90000,Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000.hdf5,1,1,63,63,63,9.99075072201e+18,9.99075072201e+18,9.99075072201e+18,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,9.99075072201e+18,9.99075072201e+18,9.99075072201e+18,1,1,1,2.64180925232e+18,2.64180925232e+18,2.64180925232e+18
A1900,,no_spin,,n65,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0019,FullVolume,04:16:54 2022-05-06 BST,Ma_xp_A1900_n65_r16_v00_90000.hdf5,Ma_xp_A1900_n65_r16_v00_90000,Ma_xp_A1900_n65_r16_v00_90000_fof_0.0019_0000.hdf5,1,1,147,147,147,9.99098008363e+18,9.99098008363e+18,9.99098008363e+18,0,0,0,0,0,0,0,0,0,0,0,0,147,147,147,9.99098008363e+18,9.99098008363e+18,9.99098008363e+18,1,1,1,2.01614856121e+18,2.01614856121e+18,2.01614856121e+18
A1900,,no_spin,,n65,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,04:16:54 2022-05-06 BST,Ma_xp_A1900_n65_r16_v00_90000.hdf5,Ma_xp_A1900_n65_r16_v00_90000,Ma_xp_A1900_n65_r16_v00_90000_fof_0.002_0000.hdf5,1,1,146,146,146,9.99115664776e+18,9.99115664776e+18,9.99115664776e+18,0,0,0,0,0,0,0,0,0,0,0,0,146,146,146,9.99115664776e+18,9.99115664776e+18,9.99115664776e+18,1,1,1,2.01615165883e+18,2.01615165883e+18,2.01615165883e+18
A1900,,no_spin,,n65,r17,1.7,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,10:03:14 2022-07-24 BST,Ma_xp_A1900_n65_r17_v00_90000.hdf5,Ma_xp_A1900_n65_r17_v00_90000,Ma_xp_A1900_n65_r17_v00_90000_fof_0.002_0000.hdf5,1,1,116,116,116,9.99355404279e+18,9.99355404279e+18,9.99355404279e+18,0,0,0,0,0,0,0,0,0,0,0,0,116,116,116,9.99355404279e+18,9.99355404279e+18,9.99355404279e+18,1,1,1,3.06677629547e+18,3.06677629547e+18,3.06677629547e+18
A1900,,no_spin,,n65,r18,1.8,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,21:25:04 2022-08-12 BST,Ma_xp_A1900_n65_r18_v00_90000.hdf5,Ma_xp_A1900_n65_r18_v00_90000,Ma_xp_A1900_n65_r18_v00_90000_fof_0.002_0000.hdf5,1,1,36,36,36,9.99609408773e+18,9.99609408773e+18,9.99609408773e+18,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,9.99609408773e+18,9.99609408773e+18,9.99609408773e+18,1,1,1,7.49210818461e+18,7.49210818461e+18,7.49210818461e+18
A1900,,no_spin,,n65,r19,1.9,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,07:02:51 2022-08-08 BST,Ma_xp_A1900_n65_r19_v00_90000.hdf5,Ma_xp_A1900_n65_r19_v00_90000,Ma_xp_A1900_n65_r19_v00_90000_fof_0.002_0000.hdf5,1,1,2,2,2,9.99815710008e+18,9.99815710008e+18,9.99815710008e+18,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,9.99815710008e+18,9.99815710008e+18,9.99815710008e+18,1,1,1,6.59510359409e+18,6.59510359409e+18,6.59510359409e+18
