fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,physical_path,physical_exists,fof_filename_exists_in_source,metadata_status,metadata_conflicts,spin_orientation,spin_period_hr,periapsis_rm,v_inf_kms,v_inf_source,physical_snapshot_date,physical_output_type,physical_run_name,physical_particle_count,scenario_name
Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r12_v00_90000.hdf5,A1900,n55,r12,v00,,90000,0.004,72,9.98386401305505e+18,0,0.0,0.0,0.0,72,9.98386401305505e+18,1.0,9.023706120435626e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n55_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,07:30:32 2022-03-07 GMT,FullVolume,Untitled SWIFT simulation,319379,Ma_xp_A1900_n55_r12_v00_90000
Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r16_v00_90000.hdf5,A1900,n55,r16,v00,,90000,0.004,36,9.99037525593954e+18,0,0.0,0.0,0.0,36,9.99037525593954e+18,1.0,2.837555822133129e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n55_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,09:47:42 2022-03-07 GMT,FullVolume,Untitled SWIFT simulation,319379,Ma_xp_A1900_n55_r16_v00_90000
Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000.hdf5,Ma_xp_A1900_n60_r12_v00_90000.hdf5,A1900,n60,r12,v00,,90000,0.003,123,9.988487567434828e+18,1,1.835448272894502e+17,0.018375637557767607,1.835448272894502e+17,122,9.804942740145377e+18,0.9816243624422324,6.403032584372952e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,15:11:00 2022-03-10 GMT,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1900_n60_r12_v00_90000
Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000.hdf5,Ma_xp_A1900_n60_r16_v00_90000.hdf5,A1900,n60,r16,v00,,90000,0.003,63,9.990750722011933e+18,0,0.0,0.0,0.0,63,9.990750722011933e+18,1.0,2.6418092523231416e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,01:09:47 2022-03-11 GMT,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1900_n60_r16_v00_90000
Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,,90000,0.0019,219,9.988508185932618e+18,0,0.0,0.0,0.0,219,9.988508185932618e+18,1.0,7.127150260422953e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,09:29:32 2022-04-30 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r12_v00_90000
Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,,90000,0.002,219,9.988783873775448e+18,0,0.0,0.0,0.0,219,9.988783873775448e+18,1.0,7.127150260422953e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,09:29:32 2022-04-30 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r12_v00_90000
Ma_xp_A1900_n65_r12_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v02_90000.hdf5,A1900,n65,r12,v02,,90000,0.002,268,9.655879807367002e+18,1,381006787927362.9,3.9458526362007095e-05,381006787927362.9,267,9.655498800579074e+18,0.9999605414736379,6.28376219391658e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v02_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.2,physical_snapshot_filename,05:44:30 2022-07-08 BST,FullVolume,Untitled SWIFT simulation,3227685,Ma_xp_A1900_n65_r12_v02_90000
Ma_xp_A1900_n65_r12_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,,90000,0.002,255,9.984177558680467e+18,0,0.0,0.0,0.0,255,9.984177558680467e+18,1.0,7.232593000513503e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v04_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.4,physical_snapshot_filename,21:40:44 2022-07-14 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r12_v04_90000
Ma_xp_A1900_n65_r12_v08_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,,90000,0.002,241,9.981185261472076e+18,0,0.0,0.0,0.0,241,9.981185261472076e+18,1.0,7.753116420384049e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v08_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.8,physical_snapshot_filename,00:37:25 2022-07-12 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r12_v08_90000
Ma_xp_A1900_n65_r12_v10_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v10_90000.hdf5,A1900,n65,r12,v10,,90000,0.002,284,9.505983063680217e+18,0,0.0,0.0,0.0,284,9.505983063680217e+18,1.0,9.581918026295567e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r12_v10_90000.hdf5,True,False,mapped,,no_spin,,1.2,1.0,physical_snapshot_filename,21:30:21 2022-07-10 BST,FullVolume,Untitled SWIFT simulation,3227688,Ma_xp_A1900_n65_r12_v10_90000
