fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1900_n65_r14_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v02_90000.hdf5,True,True,True,11260.17700880766,3227693,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r14_v04_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r14_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v06_90000.hdf5,True,True,True,1137.0946886017919,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r15_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r15_v00_90000.hdf5,True,True,True,1024.968340061605,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r16_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1900_n65_r16_v00_90000.hdf5,True,True,True,1022.0564436167479,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r16_v00_90000.hdf5,True,True,True,1022.0564436167479,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r16_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r16_v02_90000.hdf5,True,True,True,1036.2013708800077,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r16_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r16_v04_90000.hdf5,True,True,True,1053.8875358179212,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r16_v06_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r17_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r17_v00_90000.hdf5,True,True,True,982.2946740314364,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r18_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r18_v00_90000.hdf5,True,True,True,937.1929918415844,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r18_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r18_v02_90000.hdf5,True,True,True,968.2804811745882,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r18_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r18_v04_90000.hdf5,True,True,True,990.7210478559136,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r18_v06_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r19_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r19_v00_90000.hdf5,True,True,True,929.5200579799712,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r20_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r20_v02_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r20_v04_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r20_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r20_v06_90000.hdf5,True,True,True,1053.8435308262706,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r22_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r24_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r26_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r26_v00_90000.hdf5,True,True,True,885.8131477609277,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n70_r12_v00_90000_fof_0.001_0000.hdf5,Ma_xp_A1900_n70_r12_v00_90000.hdf5,True,True,True,70150.02518892288,10099884,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n70_r16_v00_89000_fof_0.001_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s030mz_n65_r12_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s030x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,True,True,True,1091.5168095380068,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s030z_n65_r11_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
