physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,expected_in_current_ml_dataset,raw_hdf5_found,raw_hdf5_path,raw_hdf5_size_bytes
Ma_xp_A1900_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r16_v00_90000.hdf5,307564536
Ma_xp_A1900_n65_r16_v02_90000.hdf5,A1900,n65,r16,v02,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r16_v02_90000.hdf5,307564472
Ma_xp_A1900_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r16_v04_90000.hdf5,307564472
Ma_xp_A1900_n65_r17_v00_90000.hdf5,A1900,n65,r17,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r17_v00_90000.hdf5,307564472
Ma_xp_A1900_n65_r18_v00_90000.hdf5,A1900,n65,r18,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r18_v00_90000.hdf5,307564480
Ma_xp_A1900_n65_r18_v02_90000.hdf5,A1900,n65,r18,v02,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r18_v02_90000.hdf5,307564472
Ma_xp_A1900_n65_r18_v04_90000.hdf5,A1900,n65,r18,v04,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r18_v04_90000.hdf5,307564472
Ma_xp_A1900_n65_r19_v00_90000.hdf5,A1900,n65,r19,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r19_v00_90000.hdf5,307564472
Ma_xp_A1900_n65_r20_v06_90000.hdf5,A1900,n65,r20,v06,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r20_v06_90000.hdf5,307564472
Ma_xp_A1900_n65_r26_v00_90000.hdf5,A1900,n65,r26,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r26_v00_90000.hdf5,307564472
Ma_xp_A1900_n70_r12_v00_90000.hdf5,A1900,n70,r12,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n70_r12_v00_90000.hdf5,710217880
Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s030x,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,307564544
Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,A1900,n65,r12,v06,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,A1900,n65,r12,v20,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,A1900,n65,r13,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,307564496
Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,A1900,n65,r16,v02,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,A1900,n65,r17,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,A1900,n65,r19,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,A1900,n65,r20,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,A1900,n65,r20,v02,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,A1900,n65,r20,v04,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,307564488
Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,A1900,n65,r22,v00,s030z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,307564488
Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s035x,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s035y,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s035z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s035z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,307564496
Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,A1900,n65,r20,v00,s035z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,307564488
Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s047x,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s047y,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,A1900,n65,r11,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,307564544
Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,A1900,n65,r12,v06,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,A1900,n65,r12,v15,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,A1900,n65,r12,v20,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,A1900,n65,r14,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,307564496
Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,A1900,n65,r16,v06,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,A1900,n65,r17,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,A1900,n65,r20,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,A1900,n65,r20,v02,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,A1900,n65,r20,v04,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,A1900,n65,r20,v06,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,A1900,n65,r22,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,307564488
Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,A1900,n65,r24,v00,s047z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,307564488
Ma_xp_A1900_s086mz_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s086mz,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s086mz_n65_r12_v00_90000.hdf5,307564488
Ma_xp_A1900_s086x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s086x,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s086x_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s086z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s086z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s086z_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s086z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s086z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s086z_n65_r16_v00_90000.hdf5,307564496
Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170mz,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,307564488
Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170x,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170y,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s170z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s170z,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,307564496
Ma_xp_A1950_n65_r12_v00_90000.hdf5,A1950,n65,r12,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1950_n65_r12_v00_90000.hdf5,307564472
Ma_xp_A1950_n65_r16_v00_90000.hdf5,A1950,n65,r16,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1950_n65_r16_v00_90000.hdf5,307564472
Ma_xp_A2000_n50_r12_v00_90000.hdf5,A2000,n50,r12,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n50_r12_v00_90000.hdf5,46079664
Ma_xp_A2000_n50_r14_v00_90000.hdf5,A2000,n50,r14,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n50_r14_v00_90000.hdf5,46079664
Ma_xp_A2000_n50_r16_v00_90000.hdf5,A2000,n50,r16,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n50_r16_v00_90000.hdf5,46079664
Ma_xp_A2000_n55_r12_v00_90000.hdf5,A2000,n55,r12,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n55_r12_v00_90000.hdf5,59569200
Ma_xp_A2000_n55_r14_v00_90000.hdf5,A2000,n55,r14,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n55_r14_v00_90000.hdf5,59569072
Ma_xp_A2000_n55_r16_v00_90000.hdf5,A2000,n55,r16,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n55_r16_v00_90000.hdf5,59569200
Ma_xp_A2000_n60_r12_v00_90000.hdf5,A2000,n60,r12,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n60_r12_v00_90000.hdf5,103309872
Ma_xp_A2000_n60_r14_v00_90000.hdf5,A2000,n60,r14,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n60_r14_v00_90000.hdf5,103309616
Ma_xp_A2000_n60_r16_v00_90000.hdf5,A2000,n60,r16,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n60_r16_v00_90000.hdf5,103309872
Ma_xp_A2000_n65_r11_v00_90000.hdf5,A2000,n65,r11,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r11_v00_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v00_90000.hdf5,A2000,n65,r12,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v00_90000.hdf5,307564496
Ma_xp_A2000_n65_r12_v02_90000.hdf5,A2000,n65,r12,v02,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v02_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v04_90000.hdf5,A2000,n65,r12,v04,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v04_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v06_90000.hdf5,A2000,n65,r12,v06,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v06_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v08_90000.hdf5,A2000,n65,r12,v08,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v08_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v10_90000.hdf5,A2000,n65,r12,v10,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v10_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v12_90000.hdf5,A2000,n65,r12,v12,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v12_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v14_90000.hdf5,A2000,n65,r12,v14,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v14_90000.hdf5,307564472
Ma_xp_A2000_n65_r12_v16_90000.hdf5,A2000,n65,r12,v16,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r12_v16_90000.hdf5,307564472
Ma_xp_A2000_n65_r13_v00_90000.hdf5,A2000,n65,r13,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r13_v00_90000.hdf5,307564472
Ma_xp_A2000_n65_r14_v00_90000.hdf5,A2000,n65,r14,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r14_v00_90000.hdf5,307564496
Ma_xp_A2000_n65_r14_v02_90000.hdf5,A2000,n65,r14,v02,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r14_v02_90000.hdf5,307564472
Ma_xp_A2000_n65_r14_v04_90000.hdf5,A2000,n65,r14,v04,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r14_v04_90000.hdf5,307564472
Ma_xp_A2000_n65_r14_v06_90000.hdf5,A2000,n65,r14,v06,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r14_v06_90000.hdf5,307564472
Ma_xp_A2000_n65_r14_v08_90000.hdf5,A2000,n65,r14,v08,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r14_v08_90000.hdf5,307564488
Ma_xp_A2000_n65_r14_v10_90000.hdf5,A2000,n65,r14,v10,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r14_v10_90000.hdf5,307564504
Ma_xp_A2000_n65_r15_v00_90000.hdf5,A2000,n65,r15,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r15_v00_90000.hdf5,307564472
Ma_xp_A2000_n65_r16_v00_90000.hdf5,A2000,n65,r16,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r16_v00_90000.hdf5,307564504
Ma_xp_A2000_n65_r16_v02_90000.hdf5,A2000,n65,r16,v02,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r16_v02_90000.hdf5,307564472
Ma_xp_A2000_n65_r16_v04_90000.hdf5,A2000,n65,r16,v04,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r16_v04_90000.hdf5,307564472
Ma_xp_A2000_n65_r16_v06_90000.hdf5,A2000,n65,r16,v06,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r16_v06_90000.hdf5,307564472
Ma_xp_A2000_n65_r16_v08_90000.hdf5,A2000,n65,r16,v08,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r16_v08_90000.hdf5,307564488
Ma_xp_A2000_n65_r16_v10_90000.hdf5,A2000,n65,r16,v10,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r16_v10_90000.hdf5,307564488
Ma_xp_A2000_n65_r17_v00_90000.hdf5,A2000,n65,r17,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r17_v00_90000.hdf5,307564472
Ma_xp_A2000_n65_r18_v00_90000.hdf5,A2000,n65,r18,v00,,90000,True,True,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A2000_n65_r18_v00_90000.hdf5,307564496
